Model,n,MAE,RMSE,Gini,Mean_Pred,Mean_Obs,Pred_Obs_Ratio,Obs_Pure_Premium
MLP-Stack,21111,228.85743922335047,678.5601601269428,0.16896445480402478,138.83120727539062,136.76438326258827,1.0151122972479834,295.5470443832648
NF (ANFIS),21111,350.83091304563686,701.8979133029812,0.15992380891868496,294.1799621582031,136.76438326258827,2.150998345770873,295.5470443832648
Ensemble,21111,350.83091304563686,701.8979133029812,0.15992380891868496,294.17994691911,136.76438326258827,2.150998234344983,295.5470443832648
GLM,21111,353.9046680085924,703.6582009757051,0.15560795248463466,296.89271279657424,136.76438326258827,2.170833558518936,295.5470443832648
